WNT age,SHH age,G3 age,G4 age,mean0,std0,median0,q1-0,q3-0,Asia follow,US follow,median1,q1-1,q3-1,TP53+ age,TP53- age,mean-2,std-2,median-2,q1-2,q3-2,Asia age,US age,mean-3,std3,median3,q1-3,q3-3,four-type age,VS age,TP age,followup-all,mean4,std4,median4,q1-4,q3-4,internal-age,external-age,all-age,mean(std),"median(Q1, Q3)"
,15,,9,,,,,,11,,,,,,,,,,,,4,,,,,,,5,4,2,11,,,,,,6,,6,,
,3,,11,,,,,,8,,,,,,,,,,,,7,,,,,,,8,7,7,8,,,,,,6,,6,,
,9,,13,,,,,,45,,,,,,,,,,,,11,,,,,,,6,11,16,45,,,,,,13,,13,,
,15,,4,,,,,,44,,,,,,,,,,,,8,,,,,,,6,8,38,44,,,,,,9,,9,,
,11,,11,,,,,,14,,,,,,,,,,,,9,,,,,,,6,9,6,14,,,,,,10,,10,,
,4,,8,,,,,,50,,,,,,,,,,,,8,,,,,,,13,8,3,50,,,,,,10,,10,,
,5.5,,15,,,,,,43,,,,,,,,,,,,7,,,,,,,9,7,2,43,,,,,,8,,8,,
,2.25,,10,,,,,,42,,,,,,,,,,,,6,,,,,,,10,6,2,42,,,,,,7,,7,,
,9,,15,,,,,,47,,,,,,,,,,,,8,,,,,,,10,8,42,47,,,,,,9,,9,,
,3,,5,,,,,,47,,,,,,,,,,,,13,,,,,,,8,13,42,47,,,,,,8,,8,,
,8,,2,,,,,,46,,,,,,,,,,,,3,,,,,,,7,3,9,46,,,,,,4,,4,,
,2.33,,5,,,,,,42,,,,,,,,,,,,11,,,,,,,8,11,,42,,,,,,10,,10,,
,12,,8,,,,,,12,,,,,,,,,,,,3,,,,,,,9,3,,12,,,,,,8,,8,,
,2.75,,5,,,,,,46,,,,,,,,,,,,5,,,,,,,8,5,,46,,,,,,6,,6,,
,4.25,,17,,,,,,14,,,,,,,,,,,,8,,,,,,,4,8,,14,,,,,,9,,9,,
,2,,6,,,,,,46,,,,,,,,,,,,6,,,,,,,13,6,,46,,,,,,9,,9,,
,42,,12,,,,,,45,,,,,,,,,,,,6,,,,,,,10,6,,45,,,,,,7,,7,,
,42,,2,,,,,,45,,,,,,,,,,,,6,,,,,,,8,6,,45,,,,,,6,,6,,
,9,,8,,,,,,41,,,,,,,,,,,,13,,,,,,,6,13,,41,,,,,,3,,3,,
,0.3,,9,,,,,,45,,,,,,,,,,,,9,,,,,,,9,9,,45,,,,,,8,,8,,
,10.9,,16,,,,,,48,,,,,,,,,,,,10,,,,,,,9,10,,48,,,,,,5,,5,,
,3.3,,4,,,,,,45,,,,,,,,,,,,10,,,,,,,6,10,,45,,,,,,6,,6,,
